'-100',0
'-93',2
'-87',3
'-80',4
'-73',5
'-67',6
'-60',7
'-59',8
'-58',9
'-56',10
'-55',11
'-54',12
'-53',13
'-51',14
'-50',15
'-49',16
'-48',17
'-46',18
'-45',19
'-44',20
'-43',21
'-41',22
'-40',23
'-39',24
'-38',25
'-36',26
'-35',27
'-34',28
'-33',29
'-31',30
'-30',31
'-29',32
'-29',33
'-28',34
'-28',35
'-27',36
'-26',37
'-26',38
'-25',39
'-24',41
'-23',42
'-22',44
'-21',45
'-20',47
'-19',49
'-18',50
'-17',52
'-16',53
'-15',55
'-14',56
'-13',58
'-13',59
'-12',60
'-11',62
'-10',63
'-9',66
'-8',69
'-8',70
'-7',73
'-6',76
'-5',79
'-4',82
'-3',85
'-2',89
'-1',92
'0',95
'1',98
'2',101
'3',105
'4',108
'5',111
'6',114
'7',117
'8',120
'9',124
'10',127
